7715422	730222220	CO	SHIPSELETRONI SAS	10	-75
7715991	NULL	KM	DEED 1	NULL	NULL
7720439	577601000	VU	BARLA	42	34
7721146	NULL	TZ	AL FAHAD 1	NULL	NULL
7724019	677064500	TZ	SKY LIGHT	35	35
7724253	NULL	CM	OTTO	NULL	NULL
7724538	NULL	TZ	SANAD I	NULL	NULL
7725013	NULL	ZZ	ALETTA	NULL	NULL
7725386	NULL	CM	URAL	NULL	NULL
7725453	211630370	DE	TEAM PORTER	54	9
7726093	NULL	TG	YOUSSEF M	NULL	NULL
7726213	677060600	TZ	GUZIDE S	36	29
7726392	550071422	TL	AL YOUSEF	30	49
7728699	613530000	CM	GUZEL	41	37
7729019	236197000	GI	AEGEAN ROSE	8	78
7729966	620262000	KM	F0RTUNA	47	38
7738656	NULL	KP	TAE DONG GANG	NULL	NULL
7738888	677054800	TZ	LATIFA	NULL	-51
7740491	613003603	CM	KIRILOVICH	39	27
7740764	NULL	PW	SORMOVSKIY-54	NULL	NULL
7741108	NULL	RU	MANGAZEYA	NULL	NULL
7741251	677072800	TZ	KAREEM .R	39	27
7800112	613460104	CM	LADY ROZ	20	38
7802598	649081582	ML	HAZI 1	26	55
7802964	273279600	RU	AKSAY	31	30
7803229	NULL	KM	ALRAQEEM	NULL	NULL
7805904	649138000	ML	RED CORAL	26	53
7806221	NULL	IR	RAH GOSHAYAN	NULL	NULL
7809390	NULL	ZZ	UNION ONE	NULL	NULL
7812854	NULL	ZZ	EIDER	NULL	NULL
7812945	450435000	LB	KHODR BEY	34	36
7813145	NULL	ZZ	ANFANI	NULL	NULL
7813561	374959000	PA	SC II	31	34
7815246	NULL	CN	FU YUAN YU 005	NULL	NULL
7816135	241850000	GR	MYKONOS III	37	25
7821051	645138000	MU	MARCO POLO	-9	13
7821465	NULL	ZZ	ROTANA	NULL	NULL
7823334	750000084	GY	GLOBIA	7	-58
7826788	209077000	CY	RIGEL II	41	19
7833107	NULL	KM	DATCA	NULL	NULL
7904580	NULL	IR	HORMUZ 2	NULL	NULL
7905481	NULL	CM	LIDER CARE	NULL	NULL
7909619	NULL	TZ	LADY CAROLINE	NULL	NULL
7909839	NULL	SL	BLUEGAS	NULL	NULL
7911131	NULL	ZZ	STAR	NULL	NULL
7911466	NULL	AE	PARAMOUNT	NULL	NULL
7912111	NULL	VE	URDANETA	NULL	NULL
7914016	NULL	ZZ	SOUTHERN ONE BH	NULL	NULL
7914183	NULL	MN	JIAN HONG NO. 1	NULL	NULL
7914482	720023000	BO	GERMAINE	29	-90
7915591	NULL	TG	SEA QUEEN	NULL	NULL
7915723	750928000	GY	FAREASTERN	28	50
7915759	620999542	KM	FREYA	28	50
7915761	620999923	KM	FAO STAR	28	50
7916997	620999704	KM	PRINCE ZAFER	35	34
7917018	620999887	KM	PRINCESS MARIAM	40	29
7922934	NULL	TG	OSCAR I	NULL	NULL
7927180	NULL	ZZ	BORNEO AQUA NO. 2	NULL	NULL
7928794	666870019	SO	AFADJA	39	27
7929176	NULL	ZZ	KIKI	NULL	NULL
7930498	610107473	BJ	SUMURAIII	30	49
7931064	NULL	TZ	CHRISTINA DEBORA	NULL	NULL
7937317	NULL	KP	TONG HUNG SAN	NULL	NULL
7937965	341803001	KN	AK MASHA	6	2
7939597	NULL	ZZ	ALFA ONE	NULL	NULL
7942180	NULL	RU	PIONER NIKOLAYEVA	NULL	NULL
7942726	NULL	US	NATALIA VICTORIA	NULL	NULL
7942958	273430210	RU	MODUS	47	38
7944683	NULL	KP	PAEK MA GANG	NULL	NULL
7944695	NULL	KP	DAI HONG DAN	NULL	NULL
7946875	613707000	CM	MV HAWA V	NULL	10
8001517	NULL	SY	YARA J	NULL	NULL
8002664	NULL	MN	DIAMOND	NULL	NULL
8002731	341565000	KN	ATLANTIC	10	-62
8003888	NULL	TZ	TRADER	NULL	NULL
8007690	NULL	ZZ	SP 101	NULL	NULL
8008383	NULL	PA	NURBANO 1	NULL	NULL
8008498	629009532	GM	EAGLE 1	36	-5
8010427	273345030	RU	OPHELIA	60	28
8011055	NULL	CN	LONG XING 602	NULL	NULL
8011598	NULL	KN	SHUN RONG	NULL	NULL
8012085	NULL	BZ	KAIROS	NULL	NULL
8012114	NULL	ZZ	ALEKSE	NULL	NULL
8016029	657307600	NG	MV PERCH	5	7
8016835	NULL	MN	MARIA	NULL	NULL
8017762	NULL	GM	LUCCIA	NULL	NULL
8018900	NULL	KP	RI WON 105	NULL	NULL
8018912	NULL	KP	RYONG RIM	NULL	NULL
8020123	677016300	TZ	AS DREAM	32	35
8022872	240136700	GR	RENATA	37	24
8023175	NULL	TZ	MYKONOS	NULL	NULL
8023670	NULL	LY	SHIFAA	NULL	NULL
8024155	677039300	TZ	UNIWIND	44	29
8027573	620800220	KM	ZEKO Y	36	36
8028424	325110000	DM	DUBREKA	8	-13
8028486	630001004	GW	SOLANJO	-6	13
8030178	NULL	PA	ATESBEY	NULL	NULL
8030556	NULL	HN	MAR BELLA	NULL	NULL
8032308	NULL	MN	NAUTICA MERSING	NULL	NULL
8033120	677049100	TZ	NAYA FALC0N	41	29
8035166	NULL	TZ	BELFAST	NULL	NULL
8037413	NULL	TZ	SEA CITRINE	NULL	NULL
8038182	NULL	CM	ARISTOTLE	NULL	NULL
8038259	273434800	RU	BELLATRIX	46	48
8101599	677083900	TZ	EMMA	41	19
8101628	NULL	CM	SOGDIANA	NULL	NULL
8102414	NULL	ZZ	ULA	NULL	NULL
8102593	657260900	NG	VARGO	6	1
8103389	NULL	SL	DENIZ S	NULL	NULL
8104591	677080300	TZ	BESART	42	20
8106109	525010379	ID	MARINA VISION	-7	113
8106496	445220000	KP	SAMMA2	37	133
8107050	NULL	ZZ	DZINTARJURA	NULL	NULL
8107828	NULL	ZZ	GAC PEARL	NULL	NULL
8108949	NULL	KM	CETUS	NULL	NULL
8109840	NULL	GQ	18HEAVEN	NULL	NULL
8115813	NULL	TZ	BRISSA LIU	NULL	NULL
8118827	613916901	CM	ALTAY	31	30
8119089	273263540	RU	FOROS	67	41
8119259	NULL	IR	MIAMI	NULL	NULL
8119649	NULL	ZZ	PARS FORTUNE	NULL	NULL
8119766	620899566	KM	S.M UNIQUE	25	55
8120478	620999020	KM	SARAH	55	19
8120909	NULL	TG	DEEP BLUE SEVEN	NULL	NULL
8121020	620800316	KM	ROZI	41	19
8122311	620999450	KM	RULA	25	55
8122347	445145000	KP	NAMSAN8	37	123
8125155	357512000	PA	DORUK	41	40
8126070	NULL	ZZ	SHANG YUAN BAO	NULL	NULL
8126082	NULL	ZZ	SUBBLIC	NULL	NULL
8126549	377901365	VC	LADY C	26	-80
8129266	620999406	KM	SAIF 1	29	49
8129321	620838000	KM	PRINCESSEMAN	31	30
8129486	NULL	TR	SICILIA	NULL	NULL
8130552	NULL	ZZ	PAGODA	NULL	NULL
8131142	NULL	TZ	GRAND MBA	NULL	NULL
8132835	NULL	KP	TAE RYONG GANG	NULL	NULL
8133530	NULL	KP	SONG JIN	NULL	NULL
8133578	620999139	KM	SORMOVSKIY 121	45	29
8134522	620999152	KM	MAYBACH V	5	-2
8136300	NULL	CM	STAR SKN-151	NULL	NULL
8138695	629009356	GM	ATLANTIC WHALE	28	-15
8151415	445147000	KP	DONG HUNG 5	39	125
8200802	NULL	KN	RS EAGLE	NULL	NULL
8200917	620800165	KM	HENDRIK 3	27	51
8201143	350221000	NI	SEAVOX	30	49
8201430	NULL	KM	OREL	NULL	NULL
8201870	NULL	KP	GOO RYONG	NULL	NULL
8202850	620800209	KM	SEA CARE 1	26	56
8203036	NULL	ZZ	LADY VICTORIA	NULL	NULL
8203050	NULL	ZZ	KHALID VII	NULL	NULL
8203153	525024131	ID	SV NORDIC BAHARI	-7	113
8203256	720233000	BO	TURBULENCE	26	-79
8203555	677019700	TZ	OTTY AT	41	37
8203608	422089000	IR	SARINA	40	51
8203933	NULL	KP	JANG GYONG	NULL	NULL
8204004	NULL	ZZ	BLAS DE LEZO	NULL	NULL
8204119	NULL	ZZ	GAM EXPRESS	NULL	NULL
8204731	352001019	PA	PHOENIX DAWN	41	40
8206791	677016600	TZ	AYANA	39	24
8206818	350870000	NI	RYUJIN	25	55
8207020	NULL	PA	TAMPA	NULL	NULL
8207410	613674540	CM	ABASHIE	32	20
8207549	620800164	KM	DIAMOND SKIES	26	56
8208543	NULL	ZZ	KAISER SEA	NULL	NULL
8208878	620999040	KM	REMET	42	34
8209080	NULL	TZ	MUSTAFA-M	NULL	NULL
8211100	627289000	GH	OBOURBA	32	20
8211942	NULL	PA	MANAMAN	NULL	NULL
8212336	271048486	TR	DIDIM FATSA	41	28
8212453	NULL	PA	CITY 1	NULL	NULL
8212465	422265000	IR	YOUNES	29	50
8213196	770576401	UY	CANADIAN SPIRIT	-35	-56
8213445	NULL	KM	BAYAR 1	NULL	NULL
8214877	NULL	TZ	RITAJ-A	NULL	NULL
8214889	620999090	KM	HAJE HALIMEH	36	36
8214968	NULL	CM	TALYROS	NULL	NULL
8215613	341490000	KN	MINI STAR	37	17
8215649	457375000	MN	OLYMPIC OS	42	27
8215742	422108000	IR	SABRINA	40	51
8215754	671075100	TG	EAST EXPRESS	32	15
8215936	NULL	ZZ	FRIO SEVEN	NULL	NULL
8217685	NULL	KP	HWA SONG	NULL	NULL
8218067	NULL	IR	LIDOMA	NULL	NULL
8218380	NULL	TZ	SEALOCK	NULL	NULL
8221789	NULL	ZZ	ARCHER	NULL	NULL
8222434	677014000	TZ	RAY	-10	40
8223050	NULL	TZ	MARVEL 7	NULL	NULL
8223074	352005186	PA	MARMARA PRINCESS	47	38
8223115	561501108	WS	YA HAYDAR	30	49
8223244	671424000	TG	HASHIM LEGACY	-7	39
8224547	NULL	ZZ	PROJECT TRADER	NULL	NULL
8225711	NULL	KN	BEREG MACHTY	NULL	NULL
8227238	273457410	RU	AK. A. KARPINSKIY	60	29
8227410	677058500	TZ	SORMOVSKIY-122	47	38
8230041	NULL	ZZ	TUNA	NULL	NULL
8230065	NULL	TZ	MAYKOP	NULL	NULL
8230120	NULL	CM	SELENA	NULL	NULL
8230314	NULL	TG	NILA	NULL	NULL
8230388	677013200	TZ	AGNES	39	27
8230962	NULL	CM	VOLGONEFT-268	NULL	NULL
8231057	NULL	RU	VOLGONEFT-251	NULL	NULL
8300157	NULL	ZZ	MIRA	NULL	NULL
8301060	271002040	TR	BANU S	41	29
8302088	312817000	BZ	ATLANTIC SOVEREIGN	55	-1
8302131	352916000	PA	TAMARA TOKONI	5	5
